

;Start
1350000, Ciudad de Panamá, Panama City, Panama, 
1340000, Jieyang, Jieyang, China, 
1340000, Nottingham, Nottingham, Great Britain, 
1340000, Sevilla, Sevilla, Spain, 
1330000, Al-Baṣrah, Basra, Iraq, 
1330000, Allahābād, Allahabad, India, 
1330000, Bayrūt, Beirut, Lebanon, 
1330000, Buffalo, Buffalo, United States of America, incl. St. Catharines (Canada)
1320000, Cotonou, Cotonou, Benin, 
1320000, Nashville, Nashville, United States of America, 
1320000, Rosario, Rosario, Argentina, 
1320000, Samara, Samara, Russia, 
1310000, Dublin, Dublin, Ireland, 
1310000, Qiqihar, Qiqihar, China, 
1310000, Sofija, Sofia, Bulgaria, 
1310000, Tbilisi, Tbilisi, Georgia, 
1300000, Handan, Handan, China, 
1300000, Jacksonville, Jacksonville, United States of America, 
1300000, Oran, Oran, Algeria, 
1300000, Ṭarābulus, Tripoli, Libya, 
1290000, Davao, Davao, Philippines, 
1290000, Harrisburg, Harrisburg, United States of America, incl. Lancaster York
1290000, Tainan, Tainan, Taiwan (Rep. of China), 
1290000, Torreón, Torreón, Mexico, 
1280000, Managua, Managua, Nicaragua, 
1280000, Putian, Putian, China, 
1280000, Weifang, Weifang, China, 
1280000, Wuhu, Wuhu, China, 
1280000, Xiangtan, Xiangtan, China, 
1270000, Adelaide, Adelaide, Australia, 
1270000, Al-Madīnah, Medina, Saudi Arabia, 
1270000, Amritsar, Amritsar, India, 
1270000, Ash-Shāriqah, Sharjah, United Arab Emirates, 
1270000, Dhanbād, Dhanbad, India, 
1270000, Monrovia, Monrovia, Liberia, 
1270000, Rostov-na-Donu, Rostov-on-Don, Russia, 
1270000, Xining, Xining, China, 
1260000, Jodhpur, Jodhpur, India, 
1260000, Xinxiang, Xinxiang, China, 
1250000, Huaibei, Huaibei, China, 
1250000, Lille, Lille, France, incl. Kortrijk (Belgium)
1250000, Maceió, Maceió, Brazil, 
1250000, Yogyakarta, Yogyakarta, Indonesia, 
1240000, Zürich, Zurich, Switzerland, 
1230000, Gwalior, Gwalior, India, 
1230000, McAllen, McAllen, United States of America, incl. Brownsville
1230000, Rānchi, Ranchi, India, 
1230000, Ulaanbaatar, Ulan Bator, Mongolia, 
1220000, Barquisimeto, Barquisimeto, Venezuela, 
1220000, Mannheim, Mannheim, Germany, 
1220000, Xingtai, Xingtai, China, 
1210000, Edmonton, Edmonton, Canada, 
1210000, Joinville, Joinville, Brazil, 
1210000, Yancheng, Yancheng, China, 
1200000, Ahvāz, Ahvaz, Iran, 
1190000, Fès, Fes, Morocco, 
1190000, Helsinki, Helsinki, Finland, 
1190000, Kazan', Kazan, Russia, 
1190000, Querétaro, Querétaro, Mexico, 
1190000, Surakarta, Surakarta, Indonesia, 
1190000, Tai'an, Tai'an, China, 
1190000, Zhangjiakou, Zhangjiakou, China, 
1180000, Port Elizabeth, Port Elizabeth, South Africa, 
1180000, Porto, Porto, Portugal, 
1180000, Ulsan, Ulsan, Korea (South), 
1180000, Yerevan, Yerevan, Armenia, 
1170000, Stockton, Stockton, United States of America, incl. Modesto
1160000, Guilin, Guilin, China, 
1160000, Naha, Naha, Japan, 
1160000, Omsk, Omsk, Russia, 
1160000, Ottawa, Ottawa, Canada, 
1160000, Tiruppūr, Tirupur, India, 
1160000, Vereeniging, Vereeniging, South Africa, incl. Evaton
1150000, João Pessoa, João Pessoa, Brazil, 
1150000, Konya, Konya, Turkey, 
1150000, Memphis, Memphis, United States of America, 
1150000, Ndjamena, Ndjamena, Chad, 
1140000, Kotā, Kotā, India, 
1140000, Maiduguri, Maiduguri, Nigeria, 
1130000, Cochabamba, Cochabamba, Bolivia, 
1130000, Düsseldorf, Dusseldorf, Germany, 
1130000, Himeji, Himeji, Japan, 
1130000, Mianyang, Mianyang, China, 
1130000, Niamey, Niamey, Niger, 
1130000, Qom, Qom, Iran, 
1120000, Bareilly, Bareilly, India, 
1120000, Bengbu, Bengbu, China, 
1120000, Kumamoto, Kumamoto, Japan, 
1120000, Mandalay, Mandalay, Myanmar, 
1120000, Quetta, Quetta, Pakistan, 
1120000, Southampton, Southampton, Great Britain, 
1120000, Yichang, Yichang, China, 
1120000, Zhanjiang, Zhanjiang, China, 
1110000, Arbīl, Erbil, Iraq, 
1110000, Aşgabat, Ashgabat, Turkmenistan, 
1110000, Bucaramanga, Bucaramanga, Colombia, 
1110000, Changwon, Changwon, Korea (South), 
1110000, Florianópolis, Florianópolis, Brazil, 
1110000, Hamamatsu, Hamamatsu, Japan, 
1110000, Odėsa, Odessa, Ukraine, 
1110000, Pekanbaru, Pekanbaru, Indonesia, 
1110000, San Luis Potosí, San Luis Potosí, Mexico, 
